fiber 112.2 721.4 1553.4
delegation 86.5 466 563.6
locks 24 101.2 280.2
fiber_RN 536.8 697.4 1163.5
delegation_RN 1123 1464.6 1930.5
locks_RN 507.6 573.6 699.9
